epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,31145.9,1.65781,1.71595,1.98789,0.82868,0.70494,0.76958,0.44662,1.53511,1.32551,1.81356,0.000412246,0.000412246,0.000412246
114,31380,1.66517,1.69711,1.98419,0.79261,0.70551,0.75937,0.44201,1.54054,1.333,1.82186,0.00040462,0.00040462,0.00040462
115,31585.9,1.62391,1.6352,1.96024,0.79611,0.72526,0.77275,0.44898,1.51092,1.30981,1.79266,0.000397019,0.000397019,0.000397019
116,31732,1.63656,1.59871,1.97058,0.80288,0.70366,0.77881,0.47047,1.49157,1.31664,1.7832,0.000389445,0.000389445,0.000389445
117,31891.1,1.60576,1.57536,1.94298,0.77639,0.727,0.7869,0.48569,1.46006,1.23645,1.76207,0.000381899,0.000381899,0.000381899
118,32035.4,1.63533,1.679,1.98077,0.76869,0.73451,0.77958,0.45553,1.50577,1.28984,1.79407,0.000374383,0.000374383,0.000374383
119,32176.7,1.6026,1.60969,1.94916,0.76333,0.74573,0.78964,0.46655,1.47034,1.24444,1.76574,0.000366899,0.000366899,0.000366899
120,32364.3,1.5686,1.57312,1.92066,0.78197,0.73109,0.79145,0.48888,1.43684,1.23153,1.74447,0.00035945,0.00035945,0.00035945
121,32569.2,1.57499,1.52881,1.90492,0.82036,0.72611,0.79951,0.48826,1.43781,1.21432,1.75303,0.000352037,0.000352037,0.000352037
122,32703.6,1.57319,1.56022,1.90308,0.80622,0.7483,0.80752,0.48334,1.45548,1.23407,1.74483,0.000344661,0.000344661,0.000344661
123,32879.4,1.5815,1.52512,1.89607,0.82053,0.74595,0.80688,0.48264,1.4524,1.23776,1.74267,0.000337325,0.000337325,0.000337325
124,33059,1.56057,1.52589,1.89938,0.79474,0.76198,0.80696,0.48846,1.41213,1.17699,1.71413,0.00033003,0.00033003,0.00033003
125,33236,1.54834,1.51419,1.89424,0.81433,0.77648,0.81658,0.51854,1.37319,1.19244,1.69446,0.000322778,0.000322778,0.000322778
126,33390.3,1.61788,1.58838,1.92655,0.77497,0.77689,0.80621,0.49004,1.38748,1.21775,1.70582,0.000315572,0.000315572,0.000315572
127,33636,1.5496,1.52677,1.89753,0.79867,0.75084,0.80246,0.48052,1.43605,1.2138,1.73534,0.000308412,0.000308412,0.000308412
128,33811,1.5348,1.47211,1.86841,0.83021,0.75263,0.81951,0.50637,1.38264,1.17271,1.69445,0.0003013,0.0003013,0.0003013
129,34006,1.53151,1.4963,1.8839,0.80701,0.80495,0.8211,0.50569,1.38715,1.18348,1.69936,0.000294239,0.000294239,0.000294239
130,34202,1.51605,1.4522,1.85465,0.80933,0.80038,0.82823,0.51006,1.38686,1.14781,1.70556,0.00028723,0.00028723,0.00028723
131,34364.4,1.51477,1.44381,1.85822,0.77913,0.80436,0.82654,0.51644,1.35756,1.14391,1.68108,0.000280275,0.000280275,0.000280275
132,34621.1,1.51567,1.45474,1.8522,0.82337,0.7968,0.84007,0.50212,1.3879,1.14555,1.69915,0.000273375,0.000273375,0.000273375
133,34799.1,1.49,1.42074,1.86485,0.84595,0.77339,0.84174,0.52835,1.34451,1.10354,1.67539,0.000266532,0.000266532,0.000266532
134,34956.6,1.50446,1.44898,1.85316,0.80261,0.77117,0.82244,0.50156,1.41835,1.16628,1.72119,0.000259748,0.000259748,0.000259748
135,35153.8,1.47626,1.40817,1.817,0.801,0.81018,0.82413,0.53139,1.3355,1.1165,1.66956,0.000253024,0.000253024,0.000253024
136,35325.5,1.47714,1.39458,1.81814,0.83117,0.77788,0.82943,0.5189,1.35354,1.13463,1.67726,0.000246363,0.000246363,0.000246363
137,35501.8,1.47244,1.39694,1.80449,0.78484,0.80851,0.82622,0.50888,1.36237,1.11936,1.68086,0.000239766,0.000239766,0.000239766
138,35578.5,1.49321,1.38275,1.82511,0.80842,0.79863,0.83527,0.52631,1.33842,1.10788,1.66371,0.000233234,0.000233234,0.000233234
139,35730.3,1.47966,1.42481,1.84102,0.813,0.78617,0.82567,0.51466,1.3346,1.1064,1.66116,0.000226769,0.000226769,0.000226769
140,35900.8,1.45084,1.3587,1.79347,0.8079,0.81183,0.83518,0.5259,1.31005,1.10255,1.64932,0.000220372,0.000220372,0.000220372
141,36076.8,1.44277,1.36792,1.8061,0.82724,0.79751,0.83689,0.5256,1.33264,1.09903,1.65511,0.000214046,0.000214046,0.000214046
142,36265.3,1.45755,1.31682,1.79871,0.82793,0.80508,0.84625,0.54338,1.30201,1.07466,1.64345,0.000207792,0.000207792,0.000207792
143,36421.6,1.44676,1.38201,1.80026,0.83517,0.80733,0.86047,0.54081,1.34083,1.09276,1.66481,0.000201611,0.000201611,0.000201611
144,36557.1,1.43794,1.36317,1.78884,0.83714,0.8126,0.85636,0.5469,1.29608,1.06339,1.63332,0.000195505,0.000195505,0.000195505
